Team,Squad Size,Avg Age,WC Appearances,Foreign %,Market Value (€),Avg Market Value (€)
England,35,27.2,17,11.4%,1620000000,46190000
France,25,26.9,17,76.0%,1360000000,54500000
Spain,27,26.6,18,29.6%,1310000000,48370000
Portugal,26,27.0,10,73.1%,864500000,33250000
Brazil,24,27.0,23,79.2%,778500000,32440000
Germany,25,28.0,21,36.0%,773500000,30940000
Netherlands,25,27.0,12,84.0%,766000000,30640000
Argentina,29,28.0,20,82.8%,761200000,26250000
Belgium,25,26.5,15,88.0%,534200000,21370000
Norway,24,27.0,4,75.0%,504000000,21000000
Senegal,28,26.8,4,100.0%,474000000,16930000
Morocco,29,25.2,8,89.7%,456000000,15720000
Turkey,28,27.7,3,42.9%,440200000,15720000
Ivory Coast,25,25.8,4,100.0%,425900000,17040000
Ecuador,32,25.9,5,87.5%,366730000,11460000
Sweden,26,26.4,13,84.6%,363980000,14000000
Uruguay,28,28.4,16,100.0%,362450000,12940000
United States,27,26.3,12,70.4%,356700000,13210000
Switzerland,26,27.9,13,88.5%,322100000,12390000
Colombia,26,29.7,7,96.2%,300500000,11560000
Croatia,26,28.2,7,92.3%,283300000,10900000
Japan,27,26.4,8,88.9%,264200000,9790000
Austria,28,28.3,9,89.3%,263400000,9410000
Algeria,26,25.9,5,92.3%,227750000,8760000
Ghana,25,26.7,5,96.0%,199280000,7970000
Scotland,26,28.6,9,73.1%,198150000,7620000
Czechia,25,28.0,2,44.0%,180800000,7230000
Mexico,26,27.8,18,38.5%,169300000,6510000
Democratic Republic of the Congo,26,28.4,1,100.0%,153400000,5900000
South Korea,26,28.1,12,84.6%,136750000,5260000
Paraguay,25,28.8,10,84.0%,134700000,5390000
Canada,26,26.5,3,88.5%,129380000,4980000
Bosnia and Herzegovina,24,26.9,2,100.0%,127100000,5300000
Egypt,26,29.0,4,26.9%,108000000,4150000
Uzbekistan,26,27.8,1,38.5%,63750000,2450000
Haiti,25,27.7,2,96.0%,55400000,2220000
Tunisia,29,25.5,7,69.0%,52300000,1800000
Australia,26,27.1,7,84.6%,51230000,1970000
Cape Verde,36,28.4,1,100.0%,44850000,1250000
South Africa,23,26.8,4,30.4%,41150000,1790000
Iran,33,29.3,7,27.3%,36780000,1110000
Panama,23,29.6,2,95.7%,32400000,1410000
Curaçao,26,27.9,1,100.0%,28380000,1090000
Saudi Arabia,23,27.9,7,8.7%,27630000,1200000
New Zealand,23,27.5,3,65.2%,22200000,965000
Iraq,28,26.5,2,53.6%,19180000,685000
Qatar,25,27.8,2,4.0%,18300000,732000
Jordan,26,27.0,1,57.7%,15980000,614000