team,strength,one_year_change
Spain,2165,15
Argentina,2113,-28
France,2082,51
England,2020,9
Brazil,1984,-9
Portugal,1984,-4
Colombia,1975,24
Netherlands,1961,-5
Ecuador,1933,22
Croatia,1930,19
Germany,1923,-64
Norway,1912,83
Japan,1904,28
Turkey,1902,64
Uruguay,1892,-29
Switzerland,1889,77
Senegal,1879,120
Belgium,1866,22
Mexico,1858,41
Paraguay,1833,33
Austria,1827,-10
Morocco,1821,15
Canada,1784,6
Australia,1783,46
Scotland,1767,25
Iran,1760,-70
South Korea,1752,6
Algeria,1743,35
Panama,1737,14
Uzbekistan,1727,30
Czechia,1726,-29
United States,1721,-1
Sweden,1719,-17
Jordan,1690,57
Egypt,1689,23
Ivory Coast,1676,85
DR Congo,1655,89
Tunisia,1636,25
Iraq,1607,68
Bosnia and Herzegovina,1594,68
New Zealand,1585,-10
Cape Verde,1549,45
Saudi Arabia,1568,6
Haiti,1532,-21
South Africa,1524,-74
Ghana,1505,43
Curaçao,1436,113
Qatar,1425,-73